"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"19.05.2022","4,766","4,814","4,820","4,701","13,75M","-1,80%"
"18.05.2022","4,854","4,910","4,968","4,832","19,25M","-0,95%"
"17.05.2022","4,900","4,900","4,929","4,873","11,19M","1,08%"
"16.05.2022","4,848","4,804","4,870","4,769","14,41M","-0,04%"
"13.05.2022","4,850","4,763","4,857","4,754","22,72M","3,01%"
"12.05.2022","4,708","4,627","4,755","4,613","23,75M","-0,82%"
"11.05.2022","4,747","4,677","4,797","4,576","26,42M","2,32%"
"10.05.2022","4,640","4,648","4,813","4,633","24,83M","1,33%"
"09.05.2022","4,579","4,633","4,695","4,579","20,68M","-0,22%"
"06.05.2022","4,589","4,600","4,662","4,505","26,66M","-0,02%"
"05.05.2022","4,590","4,880","4,902","4,590","38,66M","-3,77%"
"04.05.2022","4,770","4,918","4,924","4,756","","-2,55%"
"03.05.2022","4,895","4,900","4,977","4,865","25,17M","1,03%"
"02.05.2022","4,845","4,972","5,031","4,844","","-4,23%"
"29.04.2022","5,059","4,891","5,059","4,860","24,73M","6,55%"
"28.04.2022","4,748","4,805","4,821","4,681","17,79M","1,13%"
"27.04.2022","4,695","4,776","4,780","4,640","24,34M","0,27%"
"26.04.2022","4,682","4,926","4,926","4,682","36,77M","-2,66%"
"25.04.2022","4,811","4,900","4,943","4,811","26,41M","-3,91%"
"22.04.2022","5,006","5,105","5,168","5,006","15,31M","-2,83%"
"21.04.2022","5,152","5,122","5,178","5,108","11,78M","1,20%"
"20.04.2022","5,091","5,105","5,202","5,085","19,70M","0,18%"
"19.04.2022","5,082","5,020","5,115","4,971","176,77M","0,95%"
"14.04.2022","5,034","4,955","5,073","4,936","48,49M","1,63%"
"13.04.2022","4,953","4,952","4,994","4,912","71,75M","-0,33%"
"12.04.2022","4,970","4,873","5,054","4,841","23,14M","0,16%"
"11.04.2022","4,962","4,929","5,054","4,906","49,22M","1,41%"
"08.04.2022","4,893","4,929","4,999","4,892","24,40M","0,98%"
"07.04.2022","4,845","4,885","4,995","4,833","61,46M","-0,23%"
"06.04.2022","4,857","5,098","5,122","4,808","39,50M","-7,50%"
"05.04.2022","5,250","5,319","5,319","5,204","42,62M","-1,35%"
"04.04.2022","5,322","5,343","5,343","5,220","79,98M","0,60%"
"01.04.2022","5,290","5,263","5,321","5,235","35,33M","1,54%"
"31.03.2022","5,210","5,344","5,422","5,210","59,68M","-3,34%"
"30.03.2022","5,390","5,461","5,471","5,357","16,88M","-2,02%"
"29.03.2022","5,501","5,230","5,553","5,208","35,11M","6,71%"
"28.03.2022","5,155","5,120","5,292","5,120","33,03M","0,78%"
"25.03.2022","5,115","5,110","5,137","5,055","18,06M","-0,10%"
"24.03.2022","5,120","5,260","5,265","5,120","58,15M","-1,52%"
"23.03.2022","5,199","5,356","5,382","5,199","26,56M","-3,09%"
"22.03.2022","5,365","5,328","5,400","5,327","20,70M","1,42%"
"21.03.2022","5,290","5,271","5,384","5,268","13,79M","0,19%"
"18.03.2022","5,280","5,303","5,324","5,225","35,21M","-0,23%"
"17.03.2022","5,292","5,389","5,420","5,221","24,82M","-1,49%"
"16.03.2022","5,372","5,275","5,450","5,244","28,73M","4,64%"
"15.03.2022","5,134","5,046","5,194","5,002","20,20M","0,57%"
"14.03.2022","5,105","5,000","5,155","4,985","25,81M","2,24%"
"11.03.2022","4,993","5,023","5,290","4,924","29,31M","0,03%"
"10.03.2022","4,991","5,000","5,111","4,898","30,09M","-0,07%"
"09.03.2022","4,995","4,775","5,001","4,742","42,28M","8,67%"
"08.03.2022","4,596","4,400","4,742","4,384","38,63M","2,47%"
"07.03.2022","4,485","4,598","4,655","4,445","51,00M","-6,54%"
"04.03.2022","4,799","5,050","5,115","4,792","47,43M","-5,71%"
"03.03.2022","5,090","5,226","5,268","5,055","33,18M","-1,89%"
"02.03.2022","5,188","5,069","5,246","4,970","45,36M","2,05%"
"01.03.2022","5,084","5,269","5,372","5,084","47,11M","-3,89%"
"28.02.2022","5,290","5,258","5,321","5,162","43,88M","-2,67%"
"25.02.2022","5,435","5,300","5,486","5,213","43,03M","2,57%"
"24.02.2022","5,299","5,344","5,450","5,234","59,14M","-6,28%"
"23.02.2022","5,654","5,700","5,766","5,634","19,44M","0,19%"
"22.02.2022","5,643","5,476","5,732","5,450","29,67M","0,39%"
"21.02.2022","5,621","5,772","5,806","5,592","20,44M","-1,59%"
"18.02.2022","5,712","5,757","5,814","5,689","18,10M","-0,63%"
"17.02.2022","5,748","5,779","5,833","5,710","23,50M","-1,17%"
"16.02.2022","5,816","5,900","5,941","5,741","21,10M","-0,99%"
"15.02.2022","5,874","5,681","5,881","5,665","20,90M","2,50%"
"14.02.2022","5,731","5,750","5,823","5,676","28,73M","-3,96%"
"11.02.2022","5,967","6,000","6,035","5,934","19,10M","-1,47%"
"10.02.2022","6,056","5,945","6,120","5,941","37,01M","0,68%"
"09.02.2022","6,015","5,900","6,015","5,860","24,24M","2,21%"
"08.02.2022","5,885","5,750","5,893","5,745","22,75M","2,35%"
"07.02.2022","5,750","5,745","5,771","5,649","37,76M","1,13%"
"04.02.2022","5,686","5,740","5,780","5,587","30,49M","-0,16%"
"03.02.2022","5,695","5,649","5,787","5,505","55,90M","-2,06%"
"02.02.2022","5,815","5,800","5,900","5,753","33,29M","1,10%"
"01.02.2022","5,752","5,685","5,753","5,645","24,69M","2,09%"
"31.01.2022","5,634","5,704","5,720","5,608","17,20M","-0,18%"
"28.01.2022","5,644","5,630","5,668","5,581","16,61M","-0,69%"
"27.01.2022","5,683","5,543","5,759","5,543","16,40M","1,09%"
"26.01.2022","5,622","5,520","5,681","5,520","33,49M","2,29%"
"25.01.2022","5,496","5,420","5,543","5,419","24,16M","1,20%"
"24.01.2022","5,431","5,574","5,595","5,387","28,26M","-3,47%"
"21.01.2022","5,626","5,610","5,700","5,586","21,12M","-1,35%"
"20.01.2022","5,703","5,664","5,758","5,642","15,41M","0,19%"
"19.01.2022","5,692","5,770","5,821","5,692","28,35M","-1,54%"
"18.01.2022","5,781","5,738","5,810","5,730","17,00M","0,00%"
"17.01.2022","5,781","5,800","5,833","5,768","23,02M","0,26%"
"14.01.2022","5,766","5,706","5,782","5,698","15,74M","0,12%"
"13.01.2022","5,759","5,705","5,771","5,660","17,30M","1,07%"
"12.01.2022","5,698","5,654","5,719","5,631","15,03M","1,84%"
"11.01.2022","5,595","5,580","5,655","5,577","18,27M","0,32%"
"10.01.2022","5,577","5,611","5,680","5,553","20,40M","-0,18%"
"07.01.2022","5,587","5,482","5,587","5,458","19,76M","2,36%"
"06.01.2022","5,458","5,310","5,458","5,291","19,91M","1,45%"
"05.01.2022","5,380","5,401","5,430","5,380","14,65M","-0,24%"
"04.01.2022","5,393","5,300","5,440","5,291","17,06M","2,53%"
"03.01.2022","5,260","5,270","5,320","5,220","12,90M","0,19%"
"30.12.2021","5,250","5,246","5,282","5,233","13,97M","-0,30%"
"29.12.2021","5,266","5,222","5,266","5,206","11,36M","0,34%"
"28.12.2021","5,248","5,212","5,275","5,201","13,65M","0,34%"
"27.12.2021","5,230","5,100","5,252","5,091","11,19M","1,16%"
"23.12.2021","5,170","5,121","5,206","5,109","13,67M","1,43%"
"22.12.2021","5,097","5,062","5,107","5,027","13,81M","0,69%"
"21.12.2021","5,062","5,060","5,070","4,989","19,77M","2,35%"
"20.12.2021","4,946","4,800","4,998","4,780","23,76M","-1,03%"
"17.12.2021","4,997","5,060","5,154","4,827","54,09M","-2,73%"
"16.12.2021","5,138","5,162","5,212","5,107","20,20M","0,86%"
"15.12.2021","5,094","5,125","5,175","5,093","14,83M","-0,51%"
"14.12.2021","5,120","5,126","5,203","5,062","19,82M","0,20%"
"13.12.2021","5,110","5,110","5,204","5,090","23,53M","0,00%"
"10.12.2021","5,110","5,100","5,146","5,041","27,87M","-0,87%"
"09.12.2021","5,155","5,176","5,235","5,142","18,45M","-0,92%"
"08.12.2021","5,203","5,102","5,287","5,096","36,77M","1,36%"
"07.12.2021","5,133","5,074","5,140","5,026","27,70M","2,64%"
"06.12.2021","5,001","4,848","5,008","4,820","24,52M","4,42%"
